Phrase,Class
turn this pic into black & white,1
Make this image all grayscale,1
I want this pic in B/W,1
Take away the colors from this image,1
black and white pic,1
Convert this to grayscale,1
Strip the colors thx!,1
Give this pic the black & white treatment,1
Need a grayscale version of this image,1
Make it gray,1
Turn the image black and white,1
Grayscale the given image,1
Convert the image to black and white,1
Remove color from the image,1
grayscale,1
bw,1
black and white,1
black & white,1
remove colours,1
make gray,1
Detect edges in this image,2
Perform edge detection on this pic,2
Outline edges in the image,2
Highlight edges of this picture,2
Execute edge detection on this image,2
Find edges in this pic,2
Create sharp outlines in the image,2
Give this image an edge effect,2
Outline edges for a sketchy feel,2
Enhance edges in this pic,2
detect edges,2
Detect edges in image,2
Find image borders,2
Highlight image edges,2
Identify picture outlines,2
Locate visual boundaries,2
Spot edges in the photo,2
Detect image contours,2
Find borders in picture,2
Highlight visual edges,2
Identify photo outlines,2
Detect faces in given image,3
Identify faces within picture,3
Find all faces in image,3
Locate facial features in photo,3
Spot faces in provided picture,3
Recognize faces in given image,3
Highlight all faces in photo,3
Pinpoint faces within image,3
Discover facial regions in picture,3
Determine presence of faces in image,3
Detect faces in image,3
Identify faces in picture,3
Locate facial features,3
Spot faces in photo,3
Recognize faces in view,3
Find faces in the picture,3
Detect facial regions,3
Identify faces in photo,3
Locate faces in image,3
Spot facial features,3
Classify content of image,4
Identify objects in picture,4
Label elements in photo,4
Recognize image components,4
Categorize items in the image,4
Determine image contents,4
Specify elements in picture,4
Class image features,4
Identify objects within image,4
Label content of photo,4
Sort image contents,4
Recognize what's in the picture,4
Categorize items in the image,4
Identify elements in the photo,4
Classify objects in the picture,4
Label components of the image,4
Determine content of the photo,4
Identify image features,4
Classify visual elements,4
Recognize objects in the picture,4
Describe content of image,5
Add caption to picture,5
Generate image description,5
Caption the given photo,5
Describe what's in the image,5
Provide text for the picture,5
Add descriptive caption,5
Generate image explanation,5
Caption the displayed image,5
Describe elements in photo,5
Supply text for the image,5
Generate caption for picture,5
Describe visual content,5
Add words to the image,5
Caption this photo,5
Provide image explanation,5
Generate descriptive text,5
Summarize the image,5
Add a caption to the picture,5
Describe what you see,5
Enhance color saturation,6
Resize the image,6
Adjust brightness levels,6
Blur specific regions,6
Crop unwanted background,6
Apply a filter effect,6
Rotate the image,6
Remove red-eye effect,6
Sharpen image details,6
Change the color tone,6
Add a vignette effect,6
Adjust contrast settings,6
Apply a sepia filter,6
Create a mosaic pattern,6
Straighten image orientation,6
Remove unwanted objects,6
Enhance overall sharpness,6
Soften specific areas,6
Add a vintage filter,6
Randomize pixel colors,6
Generate a random number,6
Shuffle a deck of cards,6
Estimate travel time,6
Plan a random route,6
Choose a random word,6
Pick a color at random,6
Select a random song,6
Flip a virtual coin,6
Invent a fictional name,6
Recommend a random book,6
Suggest a random fact,6
Name a favorite childhood game,6
Choose a random city,6
Share a fun trivia,6
Pick a random quote,6
Recommend a random activity,6
Imagine a random scenario,6
Create a fictional character,6
Share a surprising statistic,6
Recall a random memory,6
